date,maxt,mint,rain,year,month,source_file
1972-05-01,14.080000000000002,6.459999999999999,63.42,1972.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-06-01,15.280000000000001,7.640000000000001,68.16,1972.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-07-01,18.94,10.559999999999999,46.56,1972.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-08-01,18.3,10.18,42.44,1972.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-09-01,15.4,7.38,31.160000000000004,1972.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-10-01,13.6,6.6,34.46,1972.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-11-01,8.74,3.04,86.92,1972.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1972-12-01,8.14,2.7399999999999998,76.05999999999999,1972.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-01-01,7.08,2.44,53.660000000000004,1973.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-02-01,7.32,1.26,61.48,1973.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-03-01,10.36,2.6,27.98,1973.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-04-01,10.540000000000001,3.02,62.879999999999995,1973.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-05-01,14.579999999999998,6.7,65.3,1973.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-06-01,18.64,9.76,60.879999999999995,1973.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-07-01,18.880000000000003,11.24,96.4,1973.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-08-01,19.68,11.059999999999999,65.08,1973.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-09-01,17.1,9.58,59.04,1973.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-10-01,12.08,5.26,53.239999999999995,1973.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-11-01,8.620000000000001,2.8,61.58,1973.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1973-12-01,7.5200000000000005,1.86,66.84,1973.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-01-01,8.42,3.1,104.32000000000001,1974.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-02-01,7.92,2.68,77.72,1974.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-03-01,8.64,2.2199999999999998,38.44,1974.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-04-01,11.84,3.3600000000000003,14.48,1974.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-05-01,14.680000000000001,6.56,47.58,1974.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-06-01,16.96,8.82,55.620000000000005,1974.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-07-01,17.9,10.620000000000001,73.16,1974.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-08-01,18.64,10.52,70.84,1974.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-09-01,15.0,7.94,99.72,1974.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-10-01,10.379999999999999,4.8,70.46000000000001,1974.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-11-01,8.78,3.4,99.17999999999999,1974.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1974-12-01,9.620000000000001,4.46,88.25999999999999,1974.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-01-01,8.72,3.1399999999999997,98.14,1975.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-02-01,7.32,1.7399999999999998,22.34,1975.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-03-01,7.58,1.5799999999999998,59.6,1975.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-04-01,11.8,4.46,59.3,1975.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-05-01,13.26,4.9399999999999995,44.1,1975.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-06-01,18.82,8.66,25.28,1975.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-07-01,20.380000000000003,12.120000000000001,57.3,1975.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-08-01,22.26,12.76,51.220000000000006,1975.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-09-01,16.28,8.68,96.78,1975.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-10-01,13.2,6.7,37.519999999999996,1975.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-11-01,9.1,2.96,54.160000000000004,1975.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1975-12-01,8.040000000000001,2.84,44.32000000000001,1975.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-01-01,7.68,2.7600000000000002,80.6,1976.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-02-01,7.140000000000001,2.06,37.46,1976.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-03-01,8.08,1.92,45.760000000000005,1976.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-04-01,11.66,4.1,30.22,1976.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-05-01,15.0,7.040000000000001,75.67999999999999,1976.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-06-01,20.36,11.120000000000001,42.64,1976.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-07-01,22.0,12.219999999999999,40.52,1976.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-08-01,21.96,10.7,17.82,1976.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-09-01,15.919999999999998,9.3,114.6,1976.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-10-01,12.76,7.0200000000000005,124.66,1976.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-11-01,8.58,2.9,53.5,1976.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1976-12-01,4.32,-0.020000000000000018,78.2,1976.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-01-01,5.0600000000000005,0.22000000000000003,99.46000000000001,1977.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-02-01,6.779999999999999,1.7599999999999998,114.34,1977.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-03-01,9.52,3.54,63.42,1977.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-04-01,10.4,3.2,56.36,1977.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-05-01,14.16,5.4399999999999995,41.3,1977.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-06-01,15.940000000000001,7.7,65.44000000000001,1977.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-07-01,19.04,11.2,19.44,1977.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-08-01,18.619999999999997,10.68,78.08,1977.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-09-01,15.820000000000002,9.02,45.18,1977.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-10-01,14.02,8.26,65.75999999999999,1977.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-11-01,8.3,2.7199999999999998,104.74000000000001,1977.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1977-12-01,8.08,3.44,62.5,1977.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-01-01,5.58,0.33999999999999997,88.76,1978.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-02-01,5.0200000000000005,-0.34,58.6,1978.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-03-01,9.64,2.9799999999999995,76.4,1978.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-04-01,9.6,2.9,38.1,1978.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-05-01,15.7,6.68,36.84,1978.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-06-01,16.86,9.059999999999999,51.5,1978.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
