date,maxt,mint,rain,year,month,stations_used
1887-09-01,14.940000000000001,7.44,74.3,1887,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-10-01,10.5,3.9200000000000004,70.9,1887,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-11-01,7.459999999999999,2,62.2,1887,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-12-01,5.7,0.27999999999999997,71.22,1887,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-01-01,6.62,1.36,40.56,1888,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-02-01,4.720000000000001,-0.32,44.6,1888,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-03-01,5.840000000000001,0.08,91.34,1888,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-04-01,9.64,2.7399999999999998,59.2,1888,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-05-01,14.64,5.359999999999999,44.1,1888,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-06-01,16.14,7.840000000000001,69.9,1888,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-07-01,16.34,9.2,121.78,1888,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-08-01,17.3,9.3,73.16,1888,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-09-01,15.559999999999999,7.68,36.160000000000004,1888,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-10-01,12.02,4.5,52.839999999999996,1888,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-11-01,9.620000000000001,4.74,130.68,1888,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1888-12-01,7.74,2.56,68.72,1888,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-01-01,6.659999999999999,1.3399999999999999,54.739999999999995,1889,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-02-01,5.92,0.019999999999999997,57,1889,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-03-01,8.24,1.4,65.9,1889,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-04-01,9.84,3.28,73.8,1889,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-05-01,16.080000000000002,7.9,82.74,1889,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-06-01,18.96,9.48,19.060000000000002,1889,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-07-01,18.3,9.7,63.46,1889,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-08-01,17.8,10.48,101.88,1889,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-09-01,15.819999999999999,8.6,56.339999999999996,1889,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-10-01,11.559999999999999,4.92,81.66,1889,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-11-01,9.4,4.08,41.4,1889,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1889-12-01,6.76,1.44,60.08,1889,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-01-01,8.4,2.5799999999999996,93.2,1890,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-02-01,6.38,1.04,22.8,1890,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-03-01,9.52,2.42,62.54,1890,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-04-01,10.8,2.54,38.62,1890,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-05-01,15.440000000000001,6.6,46.82000000000001,1890,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-06-01,17.1,9.059999999999999,63.15999999999999,1890,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-07-01,17.52,9.84,67.42,1890,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-08-01,17.6,9.72,93.17999999999999,1890,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-09-01,18.56,10.24,56.92,1890,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-10-01,13.14,6.2,78.92,1890,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-11-01,9.02,2.58,116.47999999999999,1890,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1890-12-01,3.2,-1.3,29.860000000000003,1890,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-01-01,5.14,-0.58,54.98,1891,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-02-01,9.280000000000001,1.32,19.240000000000002,1891,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-03-01,7.06,0.14000000000000004,63.220000000000006,1891,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-04-01,9.379999999999999,1.6199999999999999,36.94,1891,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-05-01,12.959999999999999,4.38,56.279999999999994,1891,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-06-01,17.94,9.32,53.160000000000004,1891,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-07-01,18.22,10.379999999999999,61.04,1891,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-08-01,17.04,10.26,107.66,1891,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-09-01,17.16,9.459999999999999,57.05999999999999,1891,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-10-01,12.459999999999999,5.46,125.28,1891,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-11-01,8.1,2.5,76.16,1891,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1891-12-01,6.9799999999999995,1.2600000000000002,114.84,1891,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-01-01,4.86,-0.54,51.24000000000001,1892,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-02-01,5.96,0.3,47.1,1892,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-03-01,6.42,-1.06,24.28,1892,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-04-01,11.98,1.54,24.74,1892,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-05-01,14.88,6.040000000000001,82.34,1892,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-06-01,16.84,7.74,70.6,1892,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-07-01,16.94,9.42,64.74000000000001,1892,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-08-01,18.06,10.34,109.35999999999999,1892,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-09-01,15.1,7.7,78.84,1892,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-10-01,10,3.28,108.17999999999999,1892,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-11-01,9.2,3.54,73.16,1892,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1892-12-01,4.84,-0.4,35.2,1892,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-01-01,5.04,0.31999999999999995,47.14,1893,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-02-01,7.08,1.42,71.2,1893,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-03-01,11.76,2.44,22.44,1893,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-04-01,14.64,3.62,16.98,1893,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-05-01,16.580000000000002,7.4,43.980000000000004,1893,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-06-01,19.3,9.620000000000001,29.3,1893,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-07-01,19.54,11.02,87.22,1893,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-08-01,20.740000000000002,11.959999999999999,73.58,1893,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-09-01,16.34,8.040000000000001,65.86,1893,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-10-01,13.059999999999999,5.7,74.28,1893,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-11-01,7.88,1.7600000000000002,73.76,1893,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1893-12-01,7.74,1.8800000000000001,89.44,1893,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-01-01,5.779999999999999,0.5599999999999999,87.06,1894,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-02-01,8,1.44,103.34,1894,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-03-01,10.84,1.72,52.36,1894,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-04-01,13.12,4.68,46.38,1894,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-05-01,12.3,3.96,54.48,1894,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-06-01,16.72,8.84,68.53999999999999,1894,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-07-01,19.48,11.2,93.62,1894,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-08-01,17.080000000000002,10.32,75.14000000000001,1894,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-09-01,14.74,7.26,21.860000000000003,1894,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-10-01,11.78,5.24,108.2,1894,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-11-01,10.28,4.92,77.64,1894,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1894-12-01,7.68,2.32,79.6,1894,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-01-01,2.68,-2.36,88.82000000000001,1895,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-02-01,2.7399999999999998,-4.22,18.240000000000002,1895,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-03-01,8.66,1.6800000000000002,63.17999999999999,1895,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-04-01,11.8,3.88,47.8,1895,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-05-01,16.759999999999998,6.4799999999999995,20.76,1895,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-06-01,19.259999999999998,8.52,52.08,1895,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-07-01,18.28,10.440000000000001,112.42,1895,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-08-01,19.04,11.120000000000001,81.47999999999999,1895,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-09-01,19.759999999999998,9.9,32.46,1895,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-10-01,10.540000000000001,3.1399999999999997,105.4,1895,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-11-01,9.78,3.78,94.22,1895,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1895-12-01,6.08,1.26,83.72,1895,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-01-01,7.4799999999999995,2.4,49.96,1896,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-02-01,8.22,2.58,38.28,1896,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-03-01,9.8,2.68,84.28,1896,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-04-01,12.78,4.86,40.32,1896,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-05-01,16.6,6.5,16.880000000000003,1896,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-06-01,19.52,10.459999999999999,74.38,1896,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-07-01,19.62,10.68,77.75999999999999,1896,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-08-01,17.34,9.76,79.62,1896,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-09-01,15.6,8.879999999999999,124.64000000000001,1896,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-10-01,9.8,3.18,114.66,1896,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-11-01,7.980000000000001,2.38,58.339999999999996,1896,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1896-12-01,6.4,1.18,100.58,1896,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-01-01,4.08,-0.76,50.7,1897,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-02-01,7.9799999999999995,2.7399999999999998,64.03999999999999,1897,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-03-01,8.98,2.7199999999999998,96.78,1897,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-04-01,10.16,2.4799999999999995,56.5,1897,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-05-01,13.5,4.5200000000000005,41.739999999999995,1897,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-06-01,17.96,9.559999999999999,75.66,1897,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-07-01,20.1,10.84,41.04,1897,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-08-01,19.74,11.14,88.42,1897,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-09-01,15.34,7.459999999999999,69.44000000000001,1897,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-10-01,13.2,6.04,48.6,1897,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-11-01,10.02,4.4399999999999995,73.62,1897,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1897-12-01,7.56,1.72,100.72,1897,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-01-01,9.059999999999999,4.0200000000000005,46.7,1898,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-02-01,7.44,1.16,79.1,1898,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-03-01,8,0.74,53.52,1898,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-04-01,12.18,3.8600000000000003,72.8,1898,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-05-01,13.14,5.1,68.12,1898,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-06-01,17.2,8.6,44.739999999999995,1898,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-07-01,18.9,9.66,30.439999999999998,1898,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-08-01,19.66,10.92,80.58,1898,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-09-01,19,9.879999999999999,55.120000000000005,1898,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-10-01,14,7.58,111.25999999999999,1898,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-11-01,9.559999999999999,3.9,102.97999999999999,1898,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1898-12-01,9.440000000000001,3.8200000000000003,123.9,1898,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-01-01,6.94,1.42,108.6,1899,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-02-01,8.18,1.3599999999999999,59.67999999999999,1899,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-03-01,9.4,1.04,55.48,1899,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-04-01,10.92,3.5800000000000005,75.35999999999999,1899,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
