year_month,maxt,mint
1900-01-01,66.65420560747664,46.39719626168224
1900-02-01,71.04188481675392,48.78534031413613
1900-03-01,74.5668202764977,53.8479262672811
1900-04-01,82.12857142857143,57.9
1900-05-01,85.77314814814815,65.75462962962963
1900-06-01,89.08571428571429,70.57142857142857
1900-07-01,92.19815668202764,72.31797235023042
1900-08-01,93.21198156682027,71.92165898617512
1900-09-01,89.91387559808612,71.61722488038278
1900-10-01,85.47004608294931,67.28571428571429
1900-11-01,76.01913875598086,52.44019138755981
1900-12-01,68.55191256830601,49.42622950819672
1901-01-01,69.63586956521739,45.869565217391305
1901-02-01,68.44295302013423,44.12751677852349
1901-03-01,75.45794392523365,49.76168224299065
1901-04-01,78.42134831460675,51.57865168539326
1901-05-01,88.34408602150538,62.6505376344086
1901-06-01,89.00653594771242,69.50980392156863
1901-07-01,91.65053763440861,72.60215053763442
1901-08-01,90.3444976076555,71.47846889952153
1901-09-01,88.35099337748345,71.1523178807947
1901-10-01,82.43478260869566,62.875
1901-11-01,71.11274509803921,47.720588235294116
1901-12-01,69.76756756756757,45.58918918918919
1902-01-01,69.13524590163935,43.23360655737705
1902-02-01,66.48868778280543,44.67420814479638
1902-03-01,77.10612244897959,55.53061224489796
1902-04-01,81.96172248803828,56.282296650717704
1902-05-01,90.1497975708502,66.41295546558705
1902-06-01,90.88888888888889,70.84656084656085
1902-07-01,92.05150214592274,71.75965665236052
1902-08-01,91.3508064516129,72.21370967741936
1902-09-01,88.32217573221757,71.10878661087867
1902-10-01,83.91244239631337,66.82949308755761
1902-11-01,79.13942307692308,60.33173076923077
1902-12-01,72.13824884792626,50.354838709677416
1903-01-01,68.92165898617512,50.02304147465438
1903-02-01,75.27802690582959,54.04932735426009
1903-03-01,80.1975806451613,61.5
1903-04-01,79.63333333333334,55.51428571428571
1903-05-01,84.93518518518519,63.851851851851855
1903-06-01,88.98642533936652,69.1131221719457
1903-07-01,90.77016129032258,71.33870967741936
1903-08-01,91.68202764976958,73.0184331797235
1903-09-01,87.47899159663865,68.84033613445378
1903-10-01,81.28971962616822,60.299065420560744
1903-11-01,73.51196172248804,52.61244019138756
1903-12-01,67.02024291497976,40.40890688259109
1904-01-01,66.62037037037037,45.80555555555556
1904-02-01,74.66379310344827,50.23275862068966
1904-03-01,80.50691244239631,55.935483870967744
1904-04-01,82.01913875598086,56.55980861244019
1904-05-01,89.04032258064517,62.90725806451613
1904-06-01,90.2,68.24166666666666
1904-07-01,90.41532258064517,69.49193548387096
1904-08-01,90.25409836065573,70.2172131147541
1904-09-01,89.21890547263682,69.40796019900498
1904-10-01,82.98617511520737,63.995391705069125
1904-11-01,72.73059360730593,51.31050228310502
1904-12-01,70.3644859813084,47.44859813084112
1905-01-01,65.80408163265307,41.881632653061224
1905-02-01,71.41255605381166,49.71300448430493
1905-03-01,79.4758064516129,56.096774193548384
1905-04-01,81.74008810572687,59.48898678414097
1905-05-01,90.38461538461539,68.08502024291498
1905-06-01,91.07142857142857,69.4095238095238
1905-07-01,91.17289719626169,71.66355140186916
1905-08-01,89.1574074074074,72.25
1905-09-01,89.81904761904762,71.25238095238095
1905-10-01,83.58064516129032,64.47465437788019
1905-11-01,78.2375,55.2
1905-12-01,69.39917695473251,50.77366255144033
1906-01-01,69.95102040816326,49.840816326530614
1906-02-01,71.20982142857143,49.799107142857146
1906-03-01,75.82786885245902,52.01229508196721
1906-04-01,83.18333333333334,57.88333333333333
1906-05-01,86.1188524590164,65.64344262295081
1906-06-01,90.3375,70.67916666666666
1906-07-01,89.34412955465586,71.9919028340081
1906-08-01,89.65182186234817,72.08906882591093
1906-09-01,90.29583333333333,71.35416666666667
1906-10-01,81.88306451612904,62.87096774193548
1906-11-01,79.06666666666666,56.37619047619047
1906-12-01,73.44239631336406,47.94930875576037
1907-01-01,77.35023041474655,51.105990783410135
1907-02-01,74.31840796019901,47.67164179104478
1907-03-01,85.76518218623482,59.012145748987855
1907-04-01,82.0546218487395,56.609243697478995
1907-05-01,88.95020746887967,65.77178423236515
1907-06-01,90.2451923076923,67.65865384615384
1907-07-01,89.78801843317973,71.48387096774194
1907-08-01,90.32407407407408,71.12037037037037
1907-09-01,88.92340425531916,70.7404255319149
1907-10-01,83.54838709677419,60.62903225806452
1907-11-01,77.55648535564853,54.99581589958159
1907-12-01,71.6008064516129,49.024193548387096
1908-01-01,69.8125,47.141666666666666
1908-02-01,69.67248908296943,46.301310043668124
1908-03-01,82.418410041841,57.36401673640167
1908-04-01,87.23444976076556,65.16267942583733
1908-05-01,88.7673469387755,64.16326530612245
1908-06-01,90.06190476190476,68.49047619047619
1908-07-01,90.97222222222223,70.81481481481481
1908-08-01,90.40860215053763,71.52150537634408
1908-09-01,87.98571428571428,70.08095238095238
1908-10-01,80.99574468085106,60.46382978723404
1908-11-01,77.0748898678414,54.48458149779736
1908-12-01,75.1869918699187,51.926829268292686
1909-01-01,73.97560975609755,53.43089430894309
1909-02-01,74.19004524886878,47.755656108597286
1909-03-01,79.80645161290323,54.953917050691246
1909-04-01,84.19047619047619,60.595238095238095
1909-05-01,87.22540983606558,64.39344262295081
1909-06-01,90.92436974789916,70.63025210084034
1909-07-01,88.75,71.79032258064517
1909-08-01,90.05645161290323,72.96774193548387
1909-09-01,88.41904761904762,69.51904761904763
1909-10-01,83.04435483870968,60.108870967741936
1909-11-01,79.34166666666667,53.28333333333333
1909-12-01,68.12396694214875,44.52892561983471
1910-01-01,69.81632653061224,44.412244897959184
1910-02-01,71.5475113122172,47.542986425339365
