YEAR,MONTH,us_tavg_f,us_tmax_f,us_tmin_f,n_stations
1900,1,32.54862007007239,42.35712062760748,22.740119512537298,401
1900,2,26.722637553290085,37.358800898539215,16.086474208040954,415
1900,3,37.78856950267629,48.84745601671815,26.729682988634426,411
1900,4,52.74232624061622,64.71829398212046,40.76635849911198,411
1900,5,62.845282212025815,75.82456820006097,49.86599622399066,407
1900,6,70.61744338761565,82.92851382419765,58.30637295103364,405
1900,7,74.04066526094836,86.5151246393827,61.566205882514005,407
1900,8,75.80283510364042,88.3431509560417,63.26251925123915,398
1900,9,67.0609818519172,78.92006850572142,55.20189519811299,393
1900,10,59.238475994693935,70.9407945656522,47.53615742373567,398
1900,11,41.30287484042725,51.44217613810279,31.163573542751706,403
1900,12,33.75848480779807,43.27844109654793,24.23852851904821,405
1901,1,30.421883745577553,40.43111423512587,20.412653256029238,406
1901,2,26.384340053782413,36.494631401146144,16.274048706418682,413
1901,3,39.892263601644416,50.72236777878203,29.062159424506802,408
1901,4,49.89825050708136,61.5536766942465,38.24282431991622,412
1901,5,61.29604629407811,73.84353119926047,48.74856138889575,401
1901,6,70.65633751389096,83.28125301811853,58.031422009663395,396
1901,7,78.50342967238109,91.99631648428691,65.01054286047528,403
1901,8,73.81172766742249,86.70902142818436,60.91443390666063,400
1901,9,64.52381663078444,76.89202413824523,52.155609123323636,402
1901,10,56.003434693325524,69.2812734018954,42.72559598475564,401
1901,11,40.620051844744054,51.92463916345484,29.315464526033278,403
1901,12,29.811960593345898,39.41263830065268,20.21128288603911,406
1902,1,29.199772213271636,39.635009611165096,18.764534815378177,411
1902,2,28.036999227151032,37.93050774159202,18.143490712710047,423
1902,3,43.28013486927203,53.83079507428222,32.72947466426184,411
1902,4,51.263592578854784,63.634679756091785,38.8925054016178,421
1902,5,64.09656354895513,76.17607576863277,52.0170513292775,425
1902,6,68.34674333672888,80.45497813411264,56.238508539345105,417
1902,7,73.80297602936363,86.00504976088328,61.60090229784398,423
1902,8,71.73796651284299,83.9987152863633,59.477217739322676,423
1902,9,63.3742122830633,75.73743054807989,51.01099401804672,411
1902,10,55.54750869431526,68.0159042133612,43.079113175269335,416
1902,11,46.15631721464921,55.89582464852506,36.41680978077334,413
1902,12,30.06114749612743,38.940897373114815,21.181397619140046,421
1903,1,29.842790807022784,39.276836732597005,20.408744881448566,415
1903,2,29.210884431366424,39.59980956668169,18.82195929605116,422
1903,3,44.37957585604591,54.5087416847332,34.25041002735862,427
1903,4,51.51962029653996,63.61207136201208,39.42716923106784,423
1903,5,62.0261951332949,74.04708381730654,50.00530644928325,432
1903,6,66.39097184633378,78.19490155244654,54.58704214022104,431
1903,7,73.28425313955759,85.49995470583988,61.06855157327531,427
1903,8,71.30973805824793,83.02860082839577,59.590875288100094,421
1903,9,64.07631934924129,77.00422704089205,51.14841165759053,423
1903,10,55.12186710450901,68.0623861781323,42.18134803088572,420
1903,11,39.8683821041669,50.692674517291664,29.044089691042135,412
1903,12,28.476488317601067,39.55407762743143,17.39889900777071,423
1904,1,24.994054568612455,35.568865947631046,14.419243189593862,424
1904,2,27.332058749420362,38.40598534732659,16.258132151514136,441
1904,3,40.835925186384344,51.710193666972934,29.96165670579575,432
1904,4,48.501598316186474,60.39196732046002,36.611229311912915,439
1904,5,61.419992621241384,74.08940944881036,48.750575793672404,440
1904,6,68.58943680719821,80.74237079880228,56.43650281559414,425
1904,7,72.08054235804012,84.31111815194839,59.84996656413185,432
1904,8,71.11203863433826,83.79210230092269,58.43197496775386,421
1904,9,66.0268005556455,78.67405721508622,53.379543896204744,419
1904,10,55.027434055880285,67.75348038038057,42.30138773137999,415
1904,11,43.648618717219065,56.309154046595076,30.988083387843048,412
1904,12,30.908598737873373,41.1079888231111,20.709208652635642,417
1905,1,23.833069380333985,33.54870882893503,14.117429931732946,415
1905,2,23.95733161602465,34.43774686999739,13.476916362051911,426
1905,3,45.473205848475445,56.630680286803894,34.31573141014699,431
1905,4,51.52605757420449,63.58096021691641,39.47115493149258,434
1905,5,61.37131026258516,72.95570341725931,49.78691710791103,439
1905,6,70.12904121188241,81.97007758432851,58.28800483943632,427
1905,7,72.82250375866018,84.44036654773498,61.204640969585355,429
1905,8,73.53387270162712,85.8051389449416,61.26260645831262,438
1905,9,67.24972866980842,79.60618988674162,54.89326745287522,426
1905,10,53.135964490643374,65.0858073104099,41.186121670876844,421
1905,11,43.15177097563317,54.62778381720746,31.675758134058874,433
1905,12,32.56976266769442,42.386153499377436,22.753371836011418,434
1906,1,33.6358711195112,43.69822981829136,23.573512420731046,435
1906,2,31.759015761253107,43.281962123490125,20.23606939901609,436
1906,3,34.6471863836742,44.05668161106632,25.23769115628209,436
1906,4,54.4487590359823,67.35305399532739,41.54446407663722,437
1906,5,61.68847501809771,74.24189867108926,49.13505136510616,435
1906,6,69.25676208843595,81.48945704920112,57.02406712767078,434
1906,7,72.89042036960451,85.33377064188696,60.44707009732207,432
1906,8,73.99879811290992,85.83497802710029,62.16261819871955,420
1906,9,68.57800645723272,80.75245412047427,56.40355879399115,429
1906,10,53.681170599146284,65.61552192939213,41.746819268900445,439
1906,11,41.65972796195131,51.84144178701248,31.478014136890142,432
1906,12,34.10051438503961,43.342184560185444,24.858844209893782,437
1907,1,30.624504011260598,40.31966503560683,20.92934298691437,441
1907,2,32.228229013495294,43.25948540211965,21.196972624870938,441
1907,3,46.25519739286125,57.706101773932524,34.804293011789966,437
1907,4,46.329151873069456,57.90529089680434,34.753012849334574,440
1907,5,56.55109910477442,68.68220516628668,44.41999304326216,439
1907,6,67.48758792958597,79.42584311886047,55.54933274031147,436
1907,7,74.02842498544868,86.10449591580229,61.95235405509506,431
1907,8,72.01114618548976,84.36020284019318,59.66208953078634,426
1907,9,65.33433043012671,77.56625943092297,53.10240142933046,431
1907,10,53.60611291349721,66.59900118452582,40.61322464246862,431
1907,11,41.35884385098198,52.29021601292144,30.42747168904251,428
1907,12,34.63684971087356,44.09028237178622,25.183417049960905,424
1908,1,31.630384035293957,42.427423817814834,20.833344252773085,442
1908,2,31.21784549971188,41.22574206828692,21.20994893113684,443
1908,3,44.08670704316524,55.6209966736046,32.55241741272588,439
1908,4,53.44057133130654,66.03304176563412,40.84810089697897,434
1908,5,61.241999033545355,72.8697398600311,49.614258207059606,438
1908,6,68.90999760979732,80.8330396703498,56.986955549244826,439
1908,7,74.1598364622916,86.55017155364199,61.76950137094121,441
1908,8,71.8721897534902,84.36707116383363,59.37730834314678,439
1908,9,67.7795632756137,81.70401493341735,53.85511161781007,445
1908,10,53.52233866581012,66.25959272089628,40.78508461072397,447
1908,11,43.86696845398803,55.538890644848784,32.19504626312727,448
1908,12,33.85213812722907,43.831061808906966,23.87321444555116,449
1909,1,31.077406866413742,40.725288534313115,21.429525198514373,451
1909,2,34.619764329390414,45.494699707607786,23.744828951173048,462
1909,3,39.93969691593339,50.45786882114601,29.421525010720774,454
1909,4,49.69024702364994,61.73148908772602,37.64900495957386,465
1909,5,59.68970763740183,72.08443280024171,47.29498247456194,459
1909,6,70.25238622171108,81.98385808153465,58.52091436188751,457
1909,7,73.10551048803703,85.11695755812563,61.0940634179484,453
1909,8,74.49265973682776,87.39184790405334,61.59347156960217,447
1909,9,65.16389293654001,77.79832417178113,52.52946170129888,453
1909,10,53.10106661634889,66.14083521522176,40.06129801747602,456
1909,11,46.9665983008882,58.22088355690287,35.71231304487353,455
1909,12,25.214079039002677,34.10431048827452,16.323847589730825,452
1910,1,28.94676624626048,38.83159699837822,19.061935494142745,453
1910,2,27.922325184876378,38.990506868626305,16.85414350112645,459
1910,3,50.640493259509896,64.532229833706,36.748756685313786,461
1910,4,54.39853510035745,67.84605890737124,40.951011293343655,468
1910,5,59.04387184471866,71.5451049145427,46.54263877489461,462
1910,6,69.15324928041306,82.11505892881065,56.19143963201549,462
1910,7,74.84112319262368,87.8982875215012,61.78395886374617,456
1910,8,72.01685964575367,84.87487767910888,59.15884161239844,458
1910,9,66.34364104652767,78.77822565252842,53.909056440526896,459
1910,10,57.23868497212892,70.55909804764882,43.91827189660902,459
1910,11,40.36117701955782,51.05630852573125,29.6660455133844,448
1910,12,30.058242149779034,39.845971150501306,20.27051314905676,453
1911,1,31.803330389017667,42.24819382298608,21.358466955049256,467
1911,2,34.18911835893523,44.25634181384582,24.121894904024636,464
1911,3,43.45481703532243,55.937994853374114,30.97163921727074,463
1911,4,50.561010561513065,62.34734972446349,38.77467139856263,471
1911,5,64.329125712549,77.72461091595859,50.93364050913941,465
1911,6,73.12689161422358,86.43611210315552,59.81767112529164,469
1911,7,74.30175188319636,87.57393158138889,61.029572185003836,470
1911,8,72.1522255098783,84.69398316833013,59.61046785142646,465
1911,9,67.70199177135862,79.70885020571333,55.695133337003895,468
1911,10,53.828851994491096,64.77391692049306,42.88378706848912,458
1911,11,37.689976028245326,48.43216849652455,26.9477835599661,461
1911,12,34.08307678066319,43.103244225600776,25.062909335725614,460
1912,1,20.740722759677094,30.711805980007764,10.769639539346429,466
1912,2,28.3053281668087,38.42709320409694,18.18356312952046,474
1912,3,34.601241533361936,44.857284702661076,24.345198364062806,475
1912,4,52.621647914932595,64.43150087629239,40.81179495357281,468
1912,5,62.59815281834672,74.90928937631256,50.28701626038089,463
1912,6,67.636490889035,80.19121111858287,55.08177065948715,457
1912,7,73.91140782468342,85.95124508670357,61.871570562663265,464
1912,8,71.17357092031057,83.11214288307565,59.2349989575455,469
1912,9,65.12916343136885,77.00716454929855,53.25116231343917,462
